dataType: iteration-based
legend: [x,y,z,\theta_x,\theta_y,\theta_z]
    - [-40.9993, 0.204998, -41, 0, 0, -0.41]
    - [-41.9993, 0.209998, -42, 0, 0, -0.42]
    - [-42.9993, 0.214998, -43, 0, 0, -0.43]
    - [-43.9993, 0.219998, -44, 0, 0, -0.44]
    - [-44.9993, 0.224998, -45, 0, 0, -0.45]
    - [-45.9992, 0.229998, -46, 0, 0, -0.46]
    - [-46.9992, 0.234998, -47, 0, 0, -0.47]
    - [-47.9992, 0.239998, -48, 0, 0, -0.48]
    - [-48.9992, 0.244998, -49, 0, 0, -0.49]
    - [-49.9992, 0.249998, -50, 0, 0, -0.5]
    - [-50.9992, 0.254998, -51, 0, 0, -0.51]
    - [-51.9991, 0.259998, -52, 0, 0, -0.52]
    - [-52.9991, 0.264998, -53, 0, 0, -0.53]
    - [-53.9991, 0.269998, -54, 0, 0, -0.54]
    - [-54.9991, 0.274998, -55, 0, 0, -0.55]
    - [-55.9991, 0.279998, -56, 0, 0, -0.56]
    - [-56.9991, 0.284998, -57, 0, 0, -0.57]
    - [-57.999, 0.289998, -58, 0, 0, -0.58]
    - [-58.999, 0.294998, -59, 0, 0, -0.59]
    - [-59.999, 0.299998, -60, 0, 0, -0.6]
    - [-60.999, 0.304997, -61, 0, 0, -0.61]
    - [-61.999, 0.309997, -62, 0, 0, -0.62]
    - [-62.999, 0.314997, -63, 0, 0, -0.63]
    - [-63.9989, 0.319997, -64, 0, 0, -0.64]
    - [-64.9989, 0.324997, -65, 0, 0, -0.65]
    - [-65.9989, 0.329997, -66, 0, 0, -0.66]
    - [-66.9989, 0.334997, -67, 0, 0, -0.67]
    - [-67.9989, 0.339997, -68, 0, 0, -0.68]
    - [-68.9989, 0.344997, -69, 0, 0, -0.69]
    - [-69.9988, 0.349997, -70, 0, 0, -0.7]
    - [-70.9988, 0.354997, -71, 0, 0, -0.71]
    - [-71.9988, 0.359997, -72, 0, 0, -0.72]
    - [-72.9988, 0.364997, -73, 0, 0, -0.73]
    - [-73.9988, 0.369997, -74, 0, 0, -0.74]
    - [-74.9988, 0.374997, -75, 0, 0, -0.75]
    - [-75.9987, 0.379997, -76, 0, 0, -0.76]
    - [-76.9987, 0.384997, -77, 0, 0, -0.77]
    - [-77.9987, 0.389997, -78, 0, 0, -0.78]
    - [-78.9987, 0.394997, -79, 0, 0, -0.79]
    - [-79.9987, 0.399997, -80, 0, 0, -0.8]
    - [-80.9987, 0.404997, -81, 0, 0, -0.81]
    - [-81.9986, 0.409997, -82, 0, 0, -0.82]
    - [-82.9986, 0.414997, -83, 0, 0, -0.83]
    - [-83.9986, 0.419997, -84, 0, 0, -0.84]
    - [-84.9986, 0.424996, -85, 0, 0, -0.85]
    - [-85.9986, 0.429996, -86, 0, 0, -0.86]
    - [-86.9986, 0.434996, -87, 0, 0, -0.87]
    - [-87.9985, 0.439996, -88, 0, 0, -0.88]
    - [-88.9985, 0.444996, -89, 0, 0, -0.89]
    - [-89.9985, 0.449996, -90, 0, 0, -0.9]
    - [-90.9985, 0.454996, -91, 0, 0, -0.91]
    - [-91.9985, 0.459996, -92, 0, 0, -0.92]
    - [-92.9985, 0.464996, -93, 0, 0, -0.93]
    - [-93.9984, 0.469996, -94, 0, 0, -0.94]
    - [-94.9984, 0.474996, -95, 0, 0, -0.95]
    - [-95.9984, 0.479996, -96, 0, 0, -0.96]
    - [-96.9984, 0.484996, -97, 0, 0, -0.97]
    - [-97.9984, 0.489996, -98, 0, 0, -0.98]
    - [-98.9984, 0.494996, -99, 0, 0, -0.99]
    - [-99.9983, 0.499996, -100, 0, 0, -1]
    - [-100.998, 0.504996, -101, 0, 0, -1.01]
    - [-101.998, 0.509996, -102, 0, 0, -1.02]
    - [-102.998, 0.514996, -103, 0, 0, -1.03]
    - [-103.998, 0.519996, -104, 0, 0, -1.04]
    - [-104.998, 0.524996, -105, 0, 0, -1.05]
    - [-105.998, 0.529996, -106, 0, 0, -1.06]
    - [-106.998, 0.534996, -107, 0, 0, -1.07]
    - [-107.998, 0.539996, -108, 0, 0, -1.08]
    - [-108.998, 0.544995, -109, 0, 0, -1.09]
    - [-109.998, 0.549995, -110, 0, 0, -1.1]
    - [-110.998, 0.554995, -111, 0, 0, -1.11]
    - [-111.998, 0.559995, -112, 0, 0, -1.12]
    - [-112.998, 0.564995, -113, 0, 0, -1.13]
    - [-113.998, 0.569995, -114, 0, 0, -1.14]
    - [-114.998, 0.574995, -115, 0, 0, -1.15]
    - [-115.998, 0.579995, -116, 0, 0, -1.16]
    - [-116.998, 0.584995, -117, 0, 0, -1.17]
    - [-117.998, 0.589995, -118, 0, 0, -1.18]
    - [-118.998, 0.594995, -119, 0, 0, -1.19]
    - [-119.998, 0.599995, -120, 0, 0, -1.2]
    - [-120.998, 0.604995, -121, 0, 0, -1.21]
    - [-121.998, 0.609995, -122, 0, 0, -1.22]
    - [-122.998, 0.614995, -123, 0, 0, -1.23]
    - [-123.998, 0.619995, -124, 0, 0, -1.24]
    - [-124.998, 0.624995, -125, 0, 0, -1.25]
    - [-125.998, 0.629995, -126, 0, 0, -1.26]
    - [-126.998, 0.634995, -127, 0, 0, -1.27]
    - [-127.998, 0.639995, -128, 0, 0, -1.28]
    - [-128.998, 0.644995, -129, 0, 0, -1.29]
    - [-129.998, 0.649995, -130, 0, 0, -1.3]
    - [-130.998, 0.654995, -131, 0, 0, -1.31]
    - [-131.998, 0.659995, -132, 0, 0, -1.32]
    - [-132.998, 0.664994, -133, 0, 0, -1.33]
    - [-133.998, 0.669994, -134, 0, 0, -1.34]
    - [-134.998, 0.674994, -135, 0, 0, -1.35]
    - [-135.998, 0.679994, -136, 0, 0, -1.36]
    - [-136.998, 0.684994, -137, 0, 0, -1.37]
    - [-137.998, 0.689994, -138, 0, 0, -1.38]
    - [-138.998, 0.694994, -139, 0, 0, -1.39]
    - [-139.998, 0.699994, -140, 0, 0, -1.4]
    - [-140.998, 0.704994, -141, 0, 0, -1.41]
    - [-141.998, 0.709994, -142, 0, 0, -1.42]
    - [-142.998, 0.714994, -143, 0, 0, -1.43]
    - [-143.998, 0.719994, -144, 0, 0, -1.44]
    - [-144.998, 0.724994, -145, 0, 0, -1.45]
    - [-145.998, 0.729994, -146, 0, 0, -1.46]
    - [-146.998, 0.734994, -147, 0, 0, -1.47]
    - [-147.998, 0.739994, -148, 0, 0, -1.48]
    - [-148.998, 0.744994, -149, 0, 0, -1.49]
    - [-149.998, 0.749994, -150, 0, 0, -1.5]
    - [-150.997, 0.754994, -151, 0, 0, -1.51]
    - [-151.997, 0.759994, -152, 0, 0, -1.52]
    - [-152.997, 0.764994, -153, 0, 0, -1.53]
    - [-153.997, 0.769994, -154, 0, 0, -1.54]
    - [-154.997, 0.774994, -155, 0, 0, -1.55]
    - [-155.997, 0.779994, -156, 0, 0, -1.56]
    - [-156.997, 0.784993, -157, 0, 0, -1.57]
    - [-157.997, 0.789993, -158, 0, 0, -1.58]
    - [-158.997, 0.794993, -159, 0, 0, -1.59]
    - [-159.997, 0.799993, -160, 0, 0, -1.6]
    - [-160.997, 0.804993, -161, 0, 0, -1.61]
    - [-161.997, 0.809993, -162, 0, 0, -1.62]
    - [-162.997, 0.814993, -163, 0, 0, -1.63]
    - [-163.997, 0.819993, -164, 0, 0, -1.64]
    - [-164.997, 0.824993, -165, 0, 0, -1.65]
    - [-165.997, 0.829993, -166, 0, 0, -1.66]
    - [-166.997, 0.834993, -167, 0, 0, -1.67]
    - [-167.997, 0.839993, -168, 0, 0, -1.68]
    - [-168.997, 0.844993, -169, 0, 0, -1.69]
    - [-169.997, 0.849993, -170, 0, 0, -1.7]
    - [-170.997, 0.854993, -171, 0, 0, -1.71]
    - [-171.997, 0.859993, -172, 0, 0, -1.72]
    - [-172.997, 0.864993, -173, 0, 0, -1.73]
    - [-173.997, 0.869993, -174, 0, 0, -1.74]
    - [-174.997, 0.874993, -175, 0, 0, -1.75]
    - [-175.997, 0.879993, -176, 0, 0, -1.76]
    - [-176.997, 0.884993, -177, 0, 0, -1.77]
    - [-177.997, 0.889993, -178, 0, 0, -1.78]
    - [-178.997, 0.894993, -179, 0, 0, -1.79]
    - [-179.997, 0.899993, -180, 0, 0, -1.8]
    - [-180.997, 0.904992, -181, 0, 0, -1.81]
    - [-181.997, 0.909992, -182, 0, 0, -1.82]
    - [-182.997, 0.914992, -183, 0, 0, -1.83]
    - [-183.997, 0.919992, -184, 0, 0, -1.84]
    - [-184.997, 0.924992, -185, 0, 0, -1.85]
    - [-185.997, 0.929992, -186, 0, 0, -1.86]
    - [-186.997, 0.934992, -187, 0, 0, -1.87]
    - [-187.997, 0.939992, -188, 0, 0, -1.88]
    - [-188.997, 0.944992, -189, 0, 0, -1.89]
    - [-189.997, 0.949992, -190, 0, 0, -1.9]
    - [-190.997, 0.954992, -191, 0, 0, -1.91]
    - [-191.997, 0.959992, -192, 0, 0, -1.92]
    - [-192.997, 0.964992, -193, 0, 0, -1.93]
    - [-193.997, 0.969992, -194, 0, 0, -1.94]
    - [-194.997, 0.974992, -195, 0, 0, -1.95]
    - [-195.997, 0.979992, -196, 0, 0, -1.96]
    - [-196.997, 0.984992, -197, 0, 0, -1.97]
    - [-197.997, 0.989992, -198, 0, 0, -1.98]
    - [-198.997, 0.994992, -199, 0, 0, -1.99]
    - [-199.997, 0.999992, -200, 0, 0, -2]
    - [-200.997, 1.00499, -201, 0, 0, -2.01]
    - [-201.997, 1.00999, -202, 0, 0, -2.02]
    - [-202.997, 1.01499, -203, 0, 0, -2.03]
    - [-203.997, 1.01999, -204, 0, 0, -2.04]
    - [-204.997, 1.02499, -205, 0, 0, -2.05]
    - [-205.997, 1.02999, -206, 0, 0, -2.06]
    - [-206.997, 1.03499, -207, 0, 0, -2.07]
    - [-207.997, 1.03999, -208, 0, 0, -2.08]
    - [-208.997, 1.04499, -209, 0, 0, -2.09]
    - [-209.997, 1.04999, -210, 0, 0, -2.1]
    - [-210.996, 1.05499, -211, 0, 0, -2.11]
    - [-211.996, 1.05999, -212, 0, 0, -2.12]
    - [-212.996, 1.06499, -213, 0, 0, -2.13]
    - [-213.996, 1.06999, -214, 0, 0, -2.14]
    - [-214.996, 1.07499, -215, 0, 0, -2.15]
    - [-215.996, 1.07999, -216, 0, 0, -2.16]
    - [-216.996, 1.08499, -217, 0, 0, -2.17]
    - [-217.996, 1.08999, -218, 0, 0, -2.18]
    - [-218.996, 1.09499, -219, 0, 0, -2.19]
    - [-219.996, 1.09999, -220, 0, 0, -2.2]
    - [-220.996, 1.10499, -221, 0, 0, -2.21]
    - [-221.996, 1.10999, -222, 0, 0, -2.22]
    - [-222.996, 1.11499, -223, 0, 0, -2.23]
    - [-223.996, 1.11999, -224, 0, 0, -2.24]
    - [-224.996, 1.12499, -225, 0, 0, -2.25]
    - [-225.996, 1.12999, -226, 0, 0, -2.26]
    - [-226.996, 1.13499, -227, 0, 0, -2.27]
    - [-227.996, 1.13999, -228, 0, 0, -2.28]
    - [-228.996, 1.14499, -229, 0, 0, -2.29]
    - [-229.996, 1.14999, -230, 0, 0, -2.3]
    - [-230.996, 1.15499, -231, 0, 0, -2.31]
    - [-231.996, 1.15999, -232, 0, 0, -2.32]
    - [-232.996, 1.16499, -233, 0, 0, -2.33]
    - [-233.996, 1.16999, -234, 0, 0, -2.34]
    - [-234.996, 1.17499, -235, 0, 0, -2.35]
    - [-235.996, 1.17999, -236, 0, 0, -2.36]
    - [-236.996, 1.18499, -237, 0, 0, -2.37]
    - [-237.996, 1.18999, -238, 0, 0, -2.38]
    - [-238.996, 1.19499, -239, 0, 0, -2.39]
    - [-239.996, 1.19999, -240, 0, 0, -2.4]
    - [-240.996, 1.20499, -241, 0, 0, -2.41]
    - [-241.996, 1.20999, -242, 0, 0, -2.42]
    - [-242.996, 1.21499, -243, 0, 0, -2.43]
    - [-243.996, 1.21999, -244, 0, 0, -2.44]
    - [-244.996, 1.22499, -245, 0, 0, -2.45]
    - [-245.996, 1.22999, -246, 0, 0, -2.46]
    - [-246.996, 1.23499, -247, 0, 0, -2.47]
    - [-247.996, 1.23999, -248, 0, 0, -2.48]
    - [-248.996, 1.24499, -249, 0, 0, -2.49]
    - [-249.996, 1.24999, -250, 0, 0, -2.5]
    - [-250.996, 1.25499, -251, 0, 0, -2.51]
    - [-251.996, 1.25999, -252, 0, 0, -2.52]
    - [-252.996, 1.26499, -253, 0, 0, -2.53]
    - [-253.996, 1.26999, -254, 0, 0, -2.54]
    - [-254.996, 1.27499, -255, 0, 0, -2.55]
    - [-255.996, 1.27999, -256, 0, 0, -2.56]
    - [-256.996, 1.28499, -257, 0, 0, -2.57]
    - [-257.996, 1.28999, -258, 0, 0, -2.58]
    - [-258.996, 1.29499, -259, 0, 0, -2.59]
    - [-259.996, 1.29999, -260, 0, 0, -2.6]
    - [-260.996, 1.30499, -261, 0, 0, -2.61]
    - [-261.996, 1.30999, -262, 0, 0, -2.62]
    - [-262.996, 1.31499, -263, 0, 0, -2.63]
    - [-263.996, 1.31999, -264, 0, 0, -2.64]
    - [-264.996, 1.32499, -265, 0, 0, -2.65]
    - [-265.996, 1.32999, -266, 0, 0, -2.66]
    - [-266.996, 1.33499, -267, 0, 0, -2.67]
    - [-267.996, 1.33999, -268, 0, 0, -2.68]
    - [-268.996, 1.34499, -269, 0, 0, -2.69]
    - [-269.996, 1.34999, -270, 0, 0, -2.7]
    - [-270.995, 1.35499, -271, 0, 0, -2.71]
    - [-271.995, 1.35999, -272, 0, 0, -2.72]
    - [-272.995, 1.36499, -273, 0, 0, -2.73]
    - [-273.995, 1.36999, -274, 0, 0, -2.74]
    - [-274.995, 1.37499, -275, 0, 0, -2.75]
    - [-275.995, 1.37999, -276, 0, 0, -2.76]
    - [-276.995, 1.38499, -277, 0, 0, -2.77]
    - [-277.995, 1.38999, -278, 0, 0, -2.78]
    - [-278.995, 1.39499, -279, 0, 0, -2.79]
    - [-279.995, 1.39999, -280, 0, 0, -2.8]
    - [-280.995, 1.40499, -281, 0, 0, -2.81]
    - [-281.995, 1.40999, -282, 0, 0, -2.82]
    - [-282.995, 1.41499, -283, 0, 0, -2.83]
    - [-283.995, 1.41999, -284, 0, 0, -2.84]
    - [-284.995, 1.42499, -285, 0, 0, -2.85]
    - [-285.995, 1.42999, -286, 0, 0, -2.86]
    - [-286.995, 1.43499, -287, 0, 0, -2.87]
    - [-287.995, 1.43999, -288, 0, 0, -2.88]
    - [-288.995, 1.44499, -289, 0, 0, -2.89]
    - [-289.995, 1.44999, -290, 0, 0, -2.9]
    - [-290.995, 1.45499, -291, 0, 0, -2.91]
    - [-291.995, 1.45999, -292, 0, 0, -2.92]
    - [-292.995, 1.46499, -293, 0, 0, -2.93]
    - [-293.995, 1.46999, -294, 0, 0, -2.94]
    - [-294.995, 1.47499, -295, 0, 0, -2.95]
    - [-295.995, 1.47999, -296, 0, 0, -2.96]
    - [-296.995, 1.48499, -297, 0, 0, -2.97]
    - [-297.995, 1.48999, -298, 0, 0, -2.98]
    - [-298.995, 1.49499, -299, 0, 0, -2.99]
    - [-299.995, 1.49999, -300, 0, 0, -3]
    - [-300.995, 1.50499, -301, 0, 0, -3.01]
    - [-301.995, 1.50999, -302, 0, 0, -3.02]
    - [-302.995, 1.51499, -303, 0, 0, -3.03]
    - [-303.995, 1.51999, -304, 0, 0, -3.04]
    - [-304.995, 1.52499, -305, 0, 0, -3.05]
    - [-305.995, 1.52999, -306, 0, 0, -3.06]
    - [-306.995, 1.53499, -307, 0, 0, -3.07]
    - [-307.995, 1.53999, -308, 0, 0, -3.08]
    - [-308.995, 1.54499, -309, 0, 0, -3.09]
    - [-309.995, 1.54999, -310, 0, 0, -3.1]
    - [-310.995, 1.55499, -311, 0, 0, -3.11]
    - [-311.995, 1.55999, -312, 0, 0, -3.12]
    - [-312.995, 1.56499, -313, 0, 0, -3.13]
    - [-313.995, 1.56999, -314, 0, 0, -3.14]
    - [-314.995, 1.57499, -315, 0, 0, 3.13319]
    - [-315.995, 1.57999, -316, 0, 0, 3.12319]
    - [-316.995, 1.58499, -317, 0, 0, 3.11319]
    - [-317.995, 1.58999, -318, 0, 0, 3.10319]
    - [-318.995, 1.59499, -319, 0, 0, 3.09319]
    - [-319.995, 1.59999, -320, 0, 0, 3.08319]
    - [-320.995, 1.60499, -321, 0, 0, 3.07319]
    - [-321.995, 1.60999, -322, 0, 0, 3.06319]
    - [-322.995, 1.61499, -323, 0, 0, 3.05319]
    - [-323.995, 1.61999, -324, 0, 0, 3.04319]
    - [-324.995, 1.62499, -325, 0, 0, 3.03319]
    - [-325.995, 1.62999, -326, 0, 0, 3.02319]
    - [-326.995, 1.63499, -327, 0, 0, 3.01319]
    - [-327.995, 1.63999, -328, 0, 0, 3.00319]
    - [-328.995, 1.64499, -329, 0, 0, 2.99319]
    - [-329.995, 1.64999, -330, 0, 0, 2.98319]
    - [-330.994, 1.65499, -331, 0, 0, 2.97319]
    - [-331.994, 1.65999, -332, 0, 0, 2.96319]
    - [-332.994, 1.66499, -333, 0, 0, 2.95319]
    - [-333.994, 1.66999, -334, 0, 0, 2.94319]
    - [-334.994, 1.67499, -335, 0, 0, 2.93319]
    - [-335.994, 1.67999, -336, 0, 0, 2.92319]
    - [-336.994, 1.68499, -337, 0, 0, 2.91319]
    - [-337.994, 1.68999, -338, 0, 0, 2.90319]
    - [-338.994, 1.69499, -339, 0, 0, 2.89319]
    - [-339.994, 1.69999, -340, 0, 0, 2.88319]
    - [-340.994, 1.70499, -341, 0, 0, 2.87319]
    - [-341.994, 1.70999, -342, 0, 0, 2.86319]
    - [-342.994, 1.71499, -343, 0, 0, 2.85319]
    - [-343.994, 1.71999, -344, 0, 0, 2.84319]
    - [-344.994, 1.72499, -345, 0, 0, 2.83319]
    - [-345.994, 1.72999, -346, 0, 0, 2.82319]
    - [-346.994, 1.73499, -347, 0, 0, 2.81319]
    - [-347.994, 1.73999, -348, 0, 0, 2.80319]
    - [-348.994, 1.74499, -349, 0, 0, 2.79319]
    - [-349.994, 1.74999, -350, 0, 0, 2.78319]
    - [-350.994, 1.75499, -351, 0, 0, 2.77319]
    - [-351.994, 1.75999, -352, 0, 0, 2.76319]
    - [-352.994, 1.76499, -353, 0, 0, 2.75319]
    - [-353.994, 1.76999, -354, 0, 0, 2.74319]
    - [-354.994, 1.77499, -355, 0, 0, 2.73319]
    - [-355.994, 1.77999, -356, 0, 0, 2.72319]
    - [-356.994, 1.78499, -357, 0, 0, 2.71319]
    - [-357.994, 1.78999, -358, 0, 0, 2.70319]
    - [-358.994, 1.79499, -359, 0, 0, 2.69319]
    - [-359.994, 1.79999, -360, 0, 0, 2.68319]
    - [-360.994, 1.80498, -361, 0, 0, 2.67319]
    - [-361.994, 1.80998, -362, 0, 0, 2.66319]
    - [-362.994, 1.81498, -363, 0, 0, 2.65319]
    - [-363.994, 1.81998, -364, 0, 0, 2.64319]
    - [-364.994, 1.82498, -365, 0, 0, 2.63319]
    - [-365.994, 1.82998, -366, 0, 0, 2.62319]
    - [-366.994, 1.83498, -367, 0, 0, 2.61319]
    - [-367.994, 1.83998, -368, 0, 0, 2.60319]
    - [-368.994, 1.84498, -369, 0, 0, 2.59319]
    - [-369.994, 1.84998, -370, 0, 0, 2.58319]
    - [-370.994, 1.85498, -371, 0, 0, 2.57319]
    - [-371.994, 1.85998, -372, 0, 0, 2.56319]
    - [-372.994, 1.86498, -373, 0, 0, 2.55319]
    - [-373.994, 1.86998, -374, 0, 0, 2.54319]
    - [-374.994, 1.87498, -375, 0, 0, 2.53319]
    - [-375.994, 1.87998, -376, 0, 0, 2.52319]
    - [-376.994, 1.88498, -377, 0, 0, 2.51319]
    - [-377.994, 1.88998, -378, 0, 0, 2.50319]
    - [-378.994, 1.89498, -379, 0, 0, 2.49319]
    - [-379.994, 1.89998, -380, 0, 0, 2.48319]
    - [-380.994, 1.90498, -381, 0, 0, 2.47319]
    - [-381.994, 1.90998, -382, 0, 0, 2.46319]
    - [-382.994, 1.91498, -383, 0, 0, 2.45319]
    - [-383.994, 1.91998, -384, 0, 0, 2.44319]
    - [-384.994, 1.92498, -385, 0, 0, 2.43319]
    - [-385.994, 1.92998, -386, 0, 0, 2.42319]
    - [-386.994, 1.93498, -387, 0, 0, 2.41319]
    - [-387.994, 1.93998, -388, 0, 0, 2.40319]
    - [-388.994, 1.94498, -389, 0, 0, 2.39319]
    - [-389.994, 1.94998, -390, 0, 0, 2.38319]
    - [-390.993, 1.95498, -391, 0, 0, 2.37319]
    - [-391.993, 1.95998, -392, 0, 0, 2.36319]
    - [-392.993, 1.96498, -393, 0, 0, 2.35319]
    - [-393.993, 1.96998, -394, 0, 0, 2.34319]
    - [-394.993, 1.97498, -395, 0, 0, 2.33319]
    - [-395.993, 1.97998, -396, 0, 0, 2.32319]
    - [-396.993, 1.98498, -397, 0, 0, 2.31319]
    - [-397.993, 1.98998, -398, 0, 0, 2.30319]
    - [-398.993, 1.99498, -399, 0, 0, 2.29319]
    - [-399.993, 1.99998, -400, 0, 0, 2.28319]
    - [-400.993, 2.00498, -401, 0, 0, 2.27319]
    - [-401.993, 2.00998, -402, 0, 0, 2.26319]
    - [-402.993, 2.01498, -403, 0, 0, 2.25319]
    - [-403.993, 2.01998, -404, 0, 0, 2.24319]
    - [-404.993, 2.02498, -405, 0, 0, 2.23319]
    - [-405.993, 2.02998, -406, 0, 0, 2.22319]
    - [-406.993, 2.03498, -407, 0, 0, 2.21319]
    - [-407.993, 2.03998, -408, 0, 0, 2.20319]
    - [-408.993, 2.04498, -409, 0, 0, 2.19319]
    - [-409.993, 2.04998, -410, 0, 0, 2.18319]
    - [-410.993, 2.05498, -411, 0, 0, 2.17319]
    - [-411.993, 2.05998, -412, 0, 0, 2.16319]
    - [-412.993, 2.06498, -413, 0, 0, 2.15319]
    - [-413.993, 2.06998, -414, 0, 0, 2.14319]
    - [-414.993, 2.07498, -415, 0, 0, 2.13319]
    - [-415.993, 2.07998, -416, 0, 0, 2.12319]
    - [-416.993, 2.08498, -417, 0, 0, 2.11319]
    - [-417.993, 2.08998, -418, 0, 0, 2.10319]
    - [-418.993, 2.09498, -419, 0, 0, 2.09319]
    - [-419.993, 2.09998, -420, 0, 0, 2.08319]
    - [-420.993, 2.10498, -421, 0, 0, 2.07319]
    - [-421.993, 2.10998, -422, 0, 0, 2.06319]
    - [-422.993, 2.11498, -423, 0, 0, 2.05319]
    - [-423.993, 2.11998, -424, 0, 0, 2.04319]
    - [-424.993, 2.12498, -425, 0, 0, 2.03319]
    - [-425.993, 2.12998, -426, 0, 0, 2.02319]
    - [-426.993, 2.13498, -427, 0, 0, 2.01319]
    - [-427.993, 2.13998, -428, 0, 0, 2.00319]
    - [-428.993, 2.14498, -429, 0, 0, 1.99319]
    - [-429.993, 2.14998, -430, 0, 0, 1.98319]
    - [-430.993, 2.15498, -431, 0, 0, 1.97319]
    - [-431.993, 2.15998, -432, 0, 0, 1.96319]
    - [-432.993, 2.16498, -433, 0, 0, 1.95319]
    - [-433.993, 2.16998, -434, 0, 0, 1.94319]
    - [-434.993, 2.17498, -435, 0, 0, 1.93319]
    - [-435.993, 2.17998, -436, 0, 0, 1.92319]
    - [-436.993, 2.18498, -437, 0, 0, 1.91319]
    - [-437.993, 2.18998, -438, 0, 0, 1.90319]
    - [-438.993, 2.19498, -439, 0, 0, 1.89319]
    - [-439.993, 2.19998, -440, 0, 0, 1.88319]
    - [-440.993, 2.20498, -441, 0, 0, 1.87319]
    - [-441.993, 2.20998, -442, 0, 0, 1.86319]
    - [-442.993, 2.21498, -443, 0, 0, 1.85319]
    - [-443.993, 2.21998, -444, 0, 0, 1.84319]
    - [-444.993, 2.22498, -445, 0, 0, 1.83319]
    - [-445.993, 2.22998, -446, 0, 0, 1.82319]
    - [-446.993, 2.23498, -447, 0, 0, 1.81319]
    - [-447.993, 2.23998, -448, 0, 0, 1.80319]
    - [-448.993, 2.24498, -449, 0, 0, 1.79319]
    - [-449.993, 2.24998, -450, 0, 0, 1.78319]
    - [-450.992, 2.25498, -451, 0, 0, 1.77319]
    - [-451.992, 2.25998, -452, 0, 0, 1.76319]
    - [-452.992, 2.26498, -453, 0, 0, 1.75319]
    - [-453.992, 2.26998, -454, 0, 0, 1.74319]
    - [-454.992, 2.27498, -455, 0, 0, 1.73319]
    - [-455.992, 2.27998, -456, 0, 0, 1.72319]
    - [-456.992, 2.28498, -457, 0, 0, 1.71319]
    - [-457.992, 2.28998, -458, 0, 0, 1.70319]
    - [-458.992, 2.29498, -459, 0, 0, 1.69319]
    - [-459.992, 2.29998, -460, 0, 0, 1.68319]
    - [-460.992, 2.30498, -461, 0, 0, 1.67319]
    - [-461.992, 2.30998, -462, 0, 0, 1.66319]
    - [-462.992, 2.31498, -463, 0, 0, 1.65319]
    - [-463.992, 2.31998, -464, 0, 0, 1.64319]
    - [-464.992, 2.32498, -465, 0, 0, 1.63319]
    - [-465.992, 2.32998, -466, 0, 0, 1.62319]
    - [-466.992, 2.33498, -467, 0, 0, 1.61319]
    - [-467.992, 2.33998, -468, 0, 0, 1.60319]
    - [-468.992, 2.34498, -469, 0, 0, 1.59319]
    - [-469.992, 2.34998, -470, 0, 0, 1.58319]
