dataType: iteration-based
legend: [v_x,v_y,v_z,\omega_x,\omega_y,\omega_z]
    - [-0.658786, 0.752331, 1, 0, 0, 0.01]
    - [-0.666276, 0.745705, 1, 0, 0, 0.01]
    - [-0.6737, 0.739005, 1, 0, 0, 0.01]
    - [-0.681056, 0.732231, 1, 0, 0, 0.01]
    - [-0.688344, 0.725384, 1, 0, 0, 0.01]
    - [-0.695563, 0.718465, 1, 0, 0, 0.01]
    - [-0.702713, 0.711473, 1, 0, 0, 0.01]
    - [-0.709793, 0.704411, 1, 0, 0, 0.01]
    - [-0.716801, 0.697278, 1, 0, 0, 0.01]
    - [-0.723738, 0.690075, 1, 0, 0, 0.01]
    - [-0.730602, 0.682803, 1, 0, 0, 0.01]
    - [-0.737394, 0.675463, 1, 0, 0, 0.01]
    - [-0.744111, 0.668056, 1, 0, 0, 0.01]
    - [-0.750755, 0.660581, 1, 0, 0, 0.01]
    - [-0.757323, 0.653041, 1, 0, 0, 0.01]
    - [-0.763815, 0.645435, 1, 0, 0, 0.01]
    - [-0.770231, 0.637765, 1, 0, 0, 0.01]
    - [-0.77657, 0.630031, 1, 0, 0, 0.01]
    - [-0.782832, 0.622234, 1, 0, 0, 0.01]
    - [-0.789015, 0.614374, 1, 0, 0, 0.01]
    - [-0.795119, 0.606454, 1, 0, 0, 0.01]
    - [-0.801144, 0.598472, 1, 0, 0, 0.01]
    - [-0.807088, 0.590431, 1, 0, 0, 0.01]
    - [-0.812952, 0.582331, 1, 0, 0, 0.01]
    - [-0.818735, 0.574172, 1, 0, 0, 0.01]
    - [-0.824435, 0.565956, 1, 0, 0, 0.01]
    - [-0.830054, 0.557684, 1, 0, 0, 0.01]
    - [-0.835589, 0.549355, 1, 0, 0, 0.01]
    - [-0.84104, 0.540972, 1, 0, 0, 0.01]
    - [-0.846408, 0.532535, 1, 0, 0, 0.01]
    - [-0.851691, 0.524044, 1, 0, 0, 0.01]
    - [-0.856889, 0.515501, 1, 0, 0, 0.01]
    - [-0.862001, 0.506907, 1, 0, 0, 0.01]
    - [-0.867027, 0.498262, 1, 0, 0, 0.01]
    - [-0.871966, 0.489567, 1, 0, 0, 0.01]
    - [-0.876818, 0.480823, 1, 0, 0, 0.01]
    - [-0.881582, 0.472031, 1, 0, 0, 0.01]
    - [-0.886258, 0.463191, 1, 0, 0, 0.01]
    - [-0.890846, 0.454306, 1, 0, 0, 0.01]
    - [-0.895344, 0.445375, 1, 0, 0, 0.01]
    - [-0.899753, 0.436399, 1, 0, 0, 0.01]
    - [-0.904072, 0.42738, 1, 0, 0, 0.01]
    - [-0.908301, 0.418318, 1, 0, 0, 0.01]
    - [-0.912438, 0.409214, 1, 0, 0, 0.01]
    - [-0.916485, 0.400069, 1, 0, 0, 0.01]
    - [-0.92044, 0.390885, 1, 0, 0, 0.01]
    - [-0.924302, 0.381661, 1, 0, 0, 0.01]
    - [-0.928073, 0.372399, 1, 0, 0, 0.01]
    - [-0.93175, 0.3631, 1, 0, 0, 0.01]
    - [-0.935335, 0.353764, 1, 0, 0, 0.01]
    - [-0.938825, 0.344393, 1, 0, 0, 0.01]
    - [-0.942222, 0.334988, 1, 0, 0, 0.01]
    - [-0.945525, 0.325549, 1, 0, 0, 0.01]
    - [-0.948733, 0.316078, 1, 0, 0, 0.01]
    - [-0.951847, 0.306575, 1, 0, 0, 0.01]
    - [-0.954865, 0.297041, 1, 0, 0, 0.01]
    - [-0.957787, 0.287478, 1, 0, 0, 0.01]
    - [-0.960614, 0.277886, 1, 0, 0, 0.01]
    - [-0.963345, 0.268266, 1, 0, 0, 0.01]
    - [-0.965979, 0.258619, 1, 0, 0, 0.01]
    - [-0.968517, 0.248947, 1, 0, 0, 0.01]
    - [-0.970958, 0.239249, 1, 0, 0, 0.01]
    - [-0.973302, 0.229528, 1, 0, 0, 0.01]
    - [-0.975549, 0.219784, 1, 0, 0, 0.01]
    - [-0.977698, 0.210017, 1, 0, 0, 0.01]
    - [-0.979749, 0.20023, 1, 0, 0, 0.01]
    - [-0.981702, 0.190423, 1, 0, 0, 0.01]
    - [-0.983557, 0.180596, 1, 0, 0, 0.01]
    - [-0.985314, 0.170752, 1, 0, 0, 0.01]
    - [-0.986972, 0.16089, 1, 0, 0, 0.01]
    - [-0.988532, 0.151013, 1, 0, 0, 0.01]
    - [-0.989992, 0.14112, 1, 0, 0, 0.01]
    - [-0.991354, 0.131213, 1, 0, 0, 0.01]
    - [-0.992617, 0.121293, 1, 0, 0, 0.01]
    - [-0.99378, 0.111361, 1, 0, 0, 0.01]
    - [-0.994844, 0.101418, 1, 0, 0, 0.01]
    - [-0.995808, 0.0914646, 1, 0, 0, 0.01]
    - [-0.996673, 0.0815022, 1, 0, 0, 0.01]
    - [-0.997438, 0.0715315, 1, 0, 0, 0.01]
    - [-0.998104, 0.0615537, 1, 0, 0, 0.01]
    - [-0.998669, 0.0515698, 1, 0, 0, 0.01]
    - [-0.999135, 0.0415807, 1, 0, 0, 0.01]
    - [-0.999501, 0.0315874, 1, 0, 0, 0.01]
    - [-0.999767, 0.021591, 1, 0, 0, 0.01]
    - [-0.999933, 0.0115924, 1, 0, 0, 0.01]
    - [-0.999999, 0.00159265, 1, 0, 0, 0.01]
    - [-0.999965, -0.00840725, 1, 0, 0, 0.01]
    - [-0.999831, -0.0184063, 1, 0, 0, 0.01]
    - [-0.999597, -0.0284035, 1, 0, 0, 0.01]
    - [-0.999263, -0.0383979, 1, 0, 0, 0.01]
    - [-0.998829, -0.0483884, 1, 0, 0, 0.01]
    - [-0.998295, -0.0583741, 1, 0, 0, 0.01]
    - [-0.997661, -0.068354, 1, 0, 0, 0.01]
    - [-0.996928, -0.078327, 1, 0, 0, 0.01]
    - [-0.996095, -0.0882922, 1, 0, 0, 0.01]
    - [-0.995162, -0.0982486, 1, 0, 0, 0.01]
    - [-0.99413, -0.108195, 1, 0, 0, 0.01]
    - [-0.992998, -0.118131, 1, 0, 0, 0.01]
    - [-0.991767, -0.128055, 1, 0, 0, 0.01]
    - [-0.990437, -0.137966, 1, 0, 0, 0.01]
    - [-0.989008, -0.147863, 1, 0, 0, 0.01]
    - [-0.98748, -0.157746, 1, 0, 0, 0.01]
    - [-0.985853, -0.167612, 1, 0, 0, 0.01]
    - [-0.984128, -0.177462, 1, 0, 0, 0.01]
    - [-0.982304, -0.187295, 1, 0, 0, 0.01]
    - [-0.980382, -0.197108, 1, 0, 0, 0.01]
    - [-0.978362, -0.206902, 1, 0, 0, 0.01]
    - [-0.976244, -0.216675, 1, 0, 0, 0.01]
    - [-0.974028, -0.226427, 1, 0, 0, 0.01]
    - [-0.971715, -0.236155, 1, 0, 0, 0.01]
    - [-0.969305, -0.245861, 1, 0, 0, 0.01]
    - [-0.966798, -0.255541, 1, 0, 0, 0.01]
    - [-0.964194, -0.265196, 1, 0, 0, 0.01]
    - [-0.961494, -0.274825, 1, 0, 0, 0.01]
    - [-0.958698, -0.284426, 1, 0, 0, 0.01]
    - [-0.955806, -0.293998, 1, 0, 0, 0.01]
    - [-0.952818, -0.303542, 1, 0, 0, 0.01]
    - [-0.949735, -0.313054, 1, 0, 0, 0.01]
    - [-0.946557, -0.322536, 1, 0, 0, 0.01]
    - [-0.943285, -0.331985, 1, 0, 0, 0.01]
    - [-0.939918, -0.341401, 1, 0, 0, 0.01]
    - [-0.936457, -0.350783, 1, 0, 0, 0.01]
    - [-0.932902, -0.36013, 1, 0, 0, 0.01]
    - [-0.929254, -0.369441, 1, 0, 0, 0.01]
    - [-0.925513, -0.378715, 1, 0, 0, 0.01]
    - [-0.92168, -0.387951, 1, 0, 0, 0.01]
    - [-0.917755, -0.397148, 1, 0, 0, 0.01]
    - [-0.913737, -0.406306, 1, 0, 0, 0.01]
    - [-0.909629, -0.415423, 1, 0, 0, 0.01]
    - [-0.905429, -0.424498, 1, 0, 0, 0.01]
    - [-0.901139, -0.433531, 1, 0, 0, 0.01]
    - [-0.896758, -0.44252, 1, 0, 0, 0.01]
    - [-0.892288, -0.451466, 1, 0, 0, 0.01]
    - [-0.887729, -0.460366, 1, 0, 0, 0.01]
    - [-0.883081, -0.46922, 1, 0, 0, 0.01]
    - [-0.878345, -0.478027, 1, 0, 0, 0.01]
    - [-0.873521, -0.486787, 1, 0, 0, 0.01]
    - [-0.868609, -0.495497, 1, 0, 0, 0.01]
    - [-0.863611, -0.504159, 1, 0, 0, 0.01]
    - [-0.858526, -0.512769, 1, 0, 0, 0.01]
    - [-0.853356, -0.521329, 1, 0, 0, 0.01]
    - [-0.8481, -0.529836, 1, 0, 0, 0.01]
    - [-0.842759, -0.538291, 1, 0, 0, 0.01]
    - [-0.837334, -0.546691, 1, 0, 0, 0.01]
    - [-0.831826, -0.555037, 1, 0, 0, 0.01]
    - [-0.826234, -0.563327, 1, 0, 0, 0.01]
    - [-0.820559, -0.571561, 1, 0, 0, 0.01]
    - [-0.814803, -0.579738, 1, 0, 0, 0.01]
    - [-0.808965, -0.587857, 1, 0, 0, 0.01]
    - [-0.803046, -0.595917, 1, 0, 0, 0.01]
    - [-0.797047, -0.603918, 1, 0, 0, 0.01]
    - [-0.790968, -0.611858, 1, 0, 0, 0.01]
    - [-0.78481, -0.619737, 1, 0, 0, 0.01]
    - [-0.778573, -0.627554, 1, 0, 0, 0.01]
    - [-0.772259, -0.635308, 1, 0, 0, 0.01]
    - [-0.765867, -0.642999, 1, 0, 0, 0.01]
    - [-0.759399, -0.650625, 1, 0, 0, 0.01]
    - [-0.752855, -0.658186, 1, 0, 0, 0.01]
    - [-0.746236, -0.665682, 1, 0, 0, 0.01]
    - [-0.739542, -0.673111, 1, 0, 0, 0.01]
    - [-0.732774, -0.680473, 1, 0, 0, 0.01]
    - [-0.725932, -0.687766, 1, 0, 0, 0.01]
    - [-0.719018, -0.694991, 1, 0, 0, 0.01]
    - [-0.712033, -0.702146, 1, 0, 0, 0.01]
    - [-0.704976, -0.709231, 1, 0, 0, 0.01]
    - [-0.697848, -0.716246, 1, 0, 0, 0.01]
    - [-0.690651, -0.723188, 1, 0, 0, 0.01]
    - [-0.683385, -0.730058, 1, 0, 0, 0.01]
    - [-0.67605, -0.736856, 1, 0, 0, 0.01]
    - [-0.668648, -0.743579, 1, 0, 0, 0.01]
    - [-0.661179, -0.750228, 1, 0, 0, 0.01]
    - [-0.653644, -0.756802, 1, 0, 0, 0.01]
    - [-0.646043, -0.763301, 1, 0, 0, 0.01]
    - [-0.638378, -0.769723, 1, 0, 0, 0.01]
    - [-0.630649, -0.776068, 1, 0, 0, 0.01]
    - [-0.622857, -0.782336, 1, 0, 0, 0.01]
    - [-0.615002, -0.788525, 1, 0, 0, 0.01]
    - [-0.607087, -0.794636, 1, 0, 0, 0.01]
    - [-0.59911, -0.800667, 1, 0, 0, 0.01]
    - [-0.591073, -0.806618, 1, 0, 0, 0.01]
    - [-0.582978, -0.812488, 1, 0, 0, 0.01]
    - [-0.574824, -0.818277, 1, 0, 0, 0.01]
    - [-0.566613, -0.823984, 1, 0, 0, 0.01]
    - [-0.558345, -0.829609, 1, 0, 0, 0.01]
    - [-0.550021, -0.835151, 1, 0, 0, 0.01]
    - [-0.541642, -0.840609, 1, 0, 0, 0.01]
    - [-0.533209, -0.845984, 1, 0, 0, 0.01]
    - [-0.524722, -0.851273, 1, 0, 0, 0.01]
    - [-0.516184, -0.856478, 1, 0, 0, 0.01]
    - [-0.507593, -0.861597, 1, 0, 0, 0.01]
    - [-0.498952, -0.86663, 1, 0, 0, 0.01]
    - [-0.490261, -0.871576, 1, 0, 0, 0.01]
    - [-0.481521, -0.876435, 1, 0, 0, 0.01]
    - [-0.472732, -0.881206, 1, 0, 0, 0.01]
    - [-0.463897, -0.885889, 1, 0, 0, 0.01]
    - [-0.455015, -0.890484, 1, 0, 0, 0.01]
    - [-0.446087, -0.894989, 1, 0, 0, 0.01]
    - [-0.437115, -0.899405, 1, 0, 0, 0.01]
    - [-0.4281, -0.903732, 1, 0, 0, 0.01]
    - [-0.419041, -0.907967, 1, 0, 0, 0.01]
    - [-0.409941, -0.912112, 1, 0, 0, 0.01]
    - [-0.400799, -0.916166, 1, 0, 0, 0.01]
    - [-0.391618, -0.920128, 1, 0, 0, 0.01]
    - [-0.382397, -0.923998, 1, 0, 0, 0.01]
    - [-0.373138, -0.927776, 1, 0, 0, 0.01]
    - [-0.363842, -0.931461, 1, 0, 0, 0.01]
    - [-0.354509, -0.935053, 1, 0, 0, 0.01]
    - [-0.345141, -0.938551, 1, 0, 0, 0.01]
    - [-0.335738, -0.941955, 1, 0, 0, 0.01]
    - [-0.326302, -0.945266, 1, 0, 0, 0.01]
    - [-0.316833, -0.948481, 1, 0, 0, 0.01]
    - [-0.307333, -0.951602, 1, 0, 0, 0.01]
    - [-0.297802, -0.954628, 1, 0, 0, 0.01]
    - [-0.288241, -0.957558, 1, 0, 0, 0.01]
    - [-0.278651, -0.960392, 1, 0, 0, 0.01]
    - [-0.269033, -0.963131, 1, 0, 0, 0.01]
    - [-0.259389, -0.965773, 1, 0, 0, 0.01]
    - [-0.249718, -0.968319, 1, 0, 0, 0.01]
    - [-0.240022, -0.970767, 1, 0, 0, 0.01]
    - [-0.230303, -0.973119, 1, 0, 0, 0.01]
    - [-0.22056, -0.975373, 1, 0, 0, 0.01]
    - [-0.210796, -0.97753, 1, 0, 0, 0.01]
    - [-0.20101, -0.979589, 1, 0, 0, 0.01]
    - [-0.191204, -0.98155, 1, 0, 0, 0.01]
    - [-0.181379, -0.983413, 1, 0, 0, 0.01]
    - [-0.171536, -0.985178, 1, 0, 0, 0.01]
    - [-0.161676, -0.986844, 1, 0, 0, 0.01]
    - [-0.1518, -0.988411, 1, 0, 0, 0.01]
    - [-0.141908, -0.98988, 1, 0, 0, 0.01]
    - [-0.132003, -0.991249, 1, 0, 0, 0.01]
    - [-0.122084, -0.99252, 1, 0, 0, 0.01]
    - [-0.112153, -0.993691, 1, 0, 0, 0.01]
    - [-0.10221, -0.994763, 1, 0, 0, 0.01]
    - [-0.0922576, -0.995735, 1, 0, 0, 0.01]
    - [-0.0822958, -0.996608, 1, 0, 0, 0.01]
    - [-0.0723258, -0.997381, 1, 0, 0, 0.01]
    - [-0.0623485, -0.998054, 1, 0, 0, 0.01]
